File_prefix	new_file_prefix	File	Strain.name	Assembly	Locus	BioSample	BioProject	Source	Paper	Dataset	Host	Generic_host	host_simple	Strain	Location	Country	Altered.Collection.Date	Collection.Date	Submission.Date	Species	Short.species	Assembly.Method	Genome.Representation	Largest.contig	Total.length	X..contigs.....0.bp.	Genome.Coverage	Sequencing.Technology	Assembly.Length	Journal	Authors	Title	X..contigs.....1000.bp.	X..contigs.....5000.bp.	X..contigs.....10000.bp.	X..contigs.....25000.bp.	X..contigs.....50000.bp.	Total.length.....0.bp.	Total.length.....1000.bp.	Total.length.....5000.bp.	Total.length.....10000.bp.	Total.length.....25000.bp.	Total.length.....50000.bp.	X..contigs	GC....	N50	N75	L50	L75	X..N.s.per.100.kbp	Cluster.x	Lane	Study.number	Sample.number	Prodigiosin.producers	Bag.Number	Manual.species	Phenon_1977	Phenon_from_s_plymuthica_and_S_odorifera	Phenon_from_liq_prot_grim_complex_paper	Additional.Strain.Names	Date.on.tube	Biotype	Additional.Information	new_biotype_prev	new_biotype	ref_for_this_new_biotype	misc_biotype_info	two_word_species	Cluster.y	new_dataset	Mosquito	Collection	MosAIC_source_specific	MosAIC_source_lab	Location 	MosAIC_lab_field	Mosquito_spp	host_species_non_mosquito	life_stage_non_mosquito	sex_non_mosquito	tissue_non_mosquito	mosquito_species	mosquito_strain_lab	mosquito_life_stage	mosquito_sex	mosquito_female_feeding_status	mosquito_tissue
26968_7_109	26968_7_109	NA	3894	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	3894	NA	Unknown	NA	NA	NA	Serratia proteamaculans	Serratia proteamaculans	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1344675	5429248	20	NA	Technology :: Illumina MiSeq	5429675	NA	NA	NA	15	14	14	14	13	5429675	5426848	5424820	5424820	5424820	5387704	19	55.23	560619	304348	3	7	0.02	Serratia proteamaculans	26968_7#109	5179STDY7638138	13_15	NA	13	Serratia proteamaculans	NA	NA	RB	NA	NA	RB	NA	RB	RB	NA	NA	Serratia proteamaculans	7	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_11	26968_7_11	NA	A13	NA	NA	NA	NA	Wakanui (Canterbury; New Zealand); mature pasture; 100-200 grass grubslm2; 3% diseased	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Costelytra zealandica	Insect	A13	New Zealand: Canterbury; Wakanui	New Zealand	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	630197	4974155	47	NA	Technology :: Illumina MiSeq	4977556	NA	NA	Grimont; P. a. D. et al. (1988) 闂備胶鍋ㄩ崕鏌ュΧ缁叉笧ratia entomophila sp. nov. Associated with Amber Disease in the New Zealand Grass Grub Costelytra zealandica闂; International Journal of Systematic Bacteriology; 38(1); pp. 1闂6. doi: 10.1099/00207713-38-1-1.	35	30	29	26	22	4977556	4971988	4960880	4954227	4912401	4756264	38	59.21	235599	149087	7	14	5.13	Serratia entomophila	26968_7#11	5179STDY7638030	7_3	NA	7	Serratia entomophila	NA	NA	NA	NA	01/06/1987	A13	NA	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_110	26968_7_110	NA	337	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	337	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1399004	5629878	24	NA	Technology :: Illumina MiSeq	5631011	NA	NA	NA	20	19	18	13	12	5631011	5629208	5627774	5621790	5544486	5511743	21	54.8	907411	294643	3	6	0.02	Serratia proteamaculans subsp. quinovorans	26968_7#110	5179STDY7638139	15_14	NA	15	Serratia proteamaculans	NA	NA	NA	NA	16/07/1992	NA	All tubes in bag 15 marked with T. Jackson as well	NA	NA	NA	NA	Serratia entomophila	6	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_111	26968_7_111	NA	398	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	398	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1299770	5090663	44	NA	Technology :: Illumina MiSeq	5094018	NA	NA	NA	34	30	27	23	18	5094018	5089484	5080131	5064359	5010456	4822698	36	59.03	328240	158231	4	10	0.04	Serratia entomophila	26968_7#111	5179STDY7638140	15_23	NA	15	Serratia entomophila	NA	NA	NA	NA	23/07/1992	NA	NA	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_112	26968_7_112	NA	9107436	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	9107436	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	592412	4982966	47	NA	Technology :: Illumina MiSeq	4986530	NA	NA	NA	36	33	32	27	23	4986530	4981255	4976077	4967348	4897570	4734603	38	59.19	222113	150573	8	15	9.63	Serratia entomophila	26968_7#112	5179STDY7638141	16_14	NA	16	Serratia entomophila	NA	NA	NA	NA	09/02/1993	NA	Reisolated	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_113	26968_7_113	NA	9107465	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	9107465	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1240742	5084130	36	NA	Technology :: Illumina MiSeq	5088648	NA	NA	NA	19	14	14	14	12	5088648	5081127	5067339	5067339	5067339	4981371	23	58.91	556174	287406	3	6	0.04	Serratia entomophila	26968_7#113	5179STDY7638142	16_28	NA	16	Serratia entomophila	NA	NA	NA	NA	01/09/1992	NA	mon identifici	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_114	26968_7_114	NA	201	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	201	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	955449	4910534	48	NA	Technology :: Illumina MiSeq	4914386	NA	NA	NA	36	26	22	20	18	4914386	4908515	4890975	4869139	4839168	4780767	39	59.3	327918	177494	5	10	0.1	Serratia entomophila	26968_7#114	5179STDY7638143	17_15	NA	17	Serratia entomophila	NA	NA	NA	NA	16/07/1992	NA	NA	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_115	26968_7_115	NA	A2	NA	NA	NA	NA	Montalto (Canterbury; New Zealand); mature pasture; 122 grass grubs/m2; 32% diseased	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Costelytra zealandica	Insect	A2	New Zealand: Canterbury: Montalto	New Zealand	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	766372	5075048	39	NA	Technology :: Illumina MiSeq	5077249	NA	NA	Grimont; P. a. D. et al. (1988) 闂備胶鍋ㄩ崕鏌ュΧ缁叉笧ratia entomophila sp. nov. Associated with Amber Disease in the New Zealand Grass Grub Costelytra zealandica闂; International Journal of Systematic Bacteriology; 38(1); pp. 1闂6. doi: 10.1099/00207713-38-1-1.	29	26	25	23	21	5077249	5071947	5067000	5060943	5033786	4966671	33	58.98	304817	169578	6	12	0.1	Serratia entomophila	26968_7#115	5179STDY7638144	10_2_3	NA	10	Serratia entomophila	NA	NA	NA	NA	27/06/1989	A2	NA	Sen 1b	Sen 1b	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_116	26968_7_116	NA	4364	NA	NA	NA	NA	Mushroom	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Plant	Plant	4364	NA	Unknown	NA	NA	NA	Serratia proteamaculans	Serratia proteamaculans	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1953979	5660679	21	NA	Technology :: Illumina MiSeq	5663606	NA	NA	Grimont; P. A. D.; Grimont; F. and Irino; K. (1982) 闂備胶鍋ㄩ崕鏌ュΧochemical characterization of Serratia liquefaciens sensu stricto; Serratia proteamaculans; and Serratia grimesii sp. nov.闂; Current Microbiology; 7(2); pp. 69闂74. doi: 10.1007/BF01568416.	12	11	11	11	9	5663606	5659976	5658628	5658628	5658628	5585367	13	54.8	1097605	551782	2	4	3.6	Serratia proteamaculans subsp. quinovorans	26968_7#116	5179STDY7638146	13_16	NA	13	Serratia proteamaculans	NA	NA	RQ	ATCC33765;CIP8195	NA	NA	NA	RQ	RQ	NA	NA	Serratia proteamaculans	6	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_117	26968_7_117	NA	358	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	358	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	2471031	5318875	18	NA	Technology :: Illumina MiSeq	5319669	NA	NA	NA	14	14	13	13	10	5319669	5317645	5317645	5311929	5311929	5217776	16	54.98	606780	386309	2	5	0	Serratia proteamaculans subsp. quinovorans	26968_7#117	5179STDY7638147	15_16	NA	15	Serratia proteamaculans	NA	NA	NA	NA	16/07/1992	NA	NA	NA	NA	NA	NA	Serratia entomophila	6	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_118	26968_7_118	NA	430	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	430	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	519588	4914622	40	NA	Technology :: Illumina MiSeq	4918548	NA	NA	NA	27	25	23	21	18	4918548	4911800	4907927	4897177	4867234	4749185	31	59.3	344966	177789	6	11	5.33	Serratia entomophila	26968_7#118	5179STDY7638148	15_26	NA	15	Serratia entomophila	NA	NA	NA	NA	16/07/1992	NA	NA	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_119	26968_7_119	NA	9107476	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	9107476	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	887504	5085762	37	NA	Technology :: Illumina MiSeq	5087577	NA	NA	NA	31	23	22	20	18	5087577	5085087	5067826	5062207	5037698	4970240	32	59.02	519777	177642	4	9	0.29	Serratia entomophila	26968_7#119	5179STDY7638149	16_16	NA	16	Serratia entomophila	NA	NA	NA	NA	12/01/1993	NA	verificao	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_12	26968_7_12	NA	5680	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	5680	NA	Unknown	NA	NA	NA	Serratia fonticola	Serratia fonticola	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	685905	5963675	52	NA	Technology :: Illumina MiSeq	5966755	NA	NA	NA	41	39	39	36	31	5966755	5961591	5956727	5956727	5914794	5729096	44	53.79	268100	106593	7	17	3.62	Serratia fonticola	26968_7#12	5179STDY7638031	8_27	NA	8	Serratia fonticola	NA	NA	NA	NA	01/08/1998	NA	second tube is dated 08/96	NA	NA	NA	NA	Serratia fonticola	4	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_120	26968_7_120	NA	9107474	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	9107474	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	766378	5070733	43	NA	Technology :: Illumina MiSeq	5074378	NA	NA	NA	30	26	24	22	20	5074378	5067923	5057452	5046282	5016198	4929894	34	59.08	328262	163823	5	11	7.79	Serratia entomophila	26968_7#120	5179STDY7638150	16_29	NA	16	Serratia entomophila	NA	NA	NA	NA	01/09/1992	NA	Serratia entemophila + 1	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_121	26968_7_121	NA	197	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	197	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1661109	5342357	40	NA	Technology :: Illumina MiSeq	5345219	NA	NA	NA	26	19	16	12	10	5345219	5337621	5324241	5303844	5238929	5185153	32	54.95	1477642	346810	2	4	0.17	Serratia proteamaculans subsp. quinovorans	26968_7#121	5179STDY7638151	17_16	NA	17	Serratia proteamaculans	NA	NA	NA	NA	16/07/1992	NA	NA	NA	NA	NA	NA	Serratia entomophila	6	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_122	26968_7_122	NA	A11	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	A11	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1659566	4922011	31	NA	Technology :: Illumina MiSeq	4924446	NA	NA	NA	17	16	15	14	12	4924446	4916912	4915364	4905557	4889540	4818759	25	59.29	1067115	221127	2	4	0.08	Serratia entomophila	26968_7#122	5179STDY7638152	1_2_1	NA	1	Serratia entomophila	NA	NA	NA	NA	01/06/1987	A11	NA	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_123	26968_7_123	NA	3980	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	3980	NA	Unknown	NA	NA	NA	Serratia ficaria	Serratia ficaria	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1307003	5259553	24	NA	Technology :: Illumina MiSeq	5261115	NA	NA	NA	20	16	16	15	14	5261115	5259553	5249397	5249397	5236284	5202237	20	60.05	654336	281371	3	7	6.94	Serratia ficaria	26968_7#123	5179STDY7638153	12_1	NA	12	Serratia ficaria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia ficaria	3	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
