number_file	percent_coverage	percent_identity	category	Gene	product
AA010_contigs.fa	100	84.32	Exotoxin	plcD	  phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase [Phospholipase D (VF0469) - Exotoxin (VFC0235)] [Acinetobacter baumannii AB0057]
AS011_contigs.fa	99.39	85.32	Regulation	rcsB	  transcriptional regulator RcsB [RcsAB (VF0571) - Regulation (VFC0301)] [Klebsiella pneumoniae 342]
AS011_contigs.fa	98.2	84	Immune modulation	galF	  GalU regulator GalF [Capsule (VF0560) - Immune modulation (VFC0258)] [Klebsiella pneumoniae JM45]
AS011_contigs.fa	100	85.08	Immune modulation	gndA	  NADP-dependent phosphogluconate dehydrogenase [Capsule (VF0560) - Immune modulation (VFC0258)] [Klebsiella pneumoniae 342]
AS011_contigs.fa	99.66	80.91	Immune modulation	ugd	  UDP-glucose 6-dehydrogenase [Capsule (VF0560) - Immune modulation (VFC0258)] [Klebsiella pneumoniae JM45]
AS011_contigs.fa	100	82.22	Motility	fliQ	  flagellar biosynthesis protein FliQ [Peritrichous flagella (VF1154) - Motility (VFC0204)] [Escherichia coli O157:H7 str. EDL933]
AS011_contigs.fa	99.59	80.6	Motility	fliP	  flagellar biosynthetic protein FliP [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	99.76	85.23	Motility	fliN	  flagellar motor switch protein FliN [Peritrichous flagella (VF1154) - Motility (VFC0204)] [Escherichia coli O157:H7 str. EDL933]
AS011_contigs.fa	99.8	85.1	Motility	fliM	  flagellar motor switch protein FliM [Peritrichous flagella (VF1154) - Motility (VFC0204)] [Escherichia coli O157:H7 str. EDL933]
AS011_contigs.fa	99.13	82.16	Motility	fliI	  flagellum-specific ATP synthase FliI [Peritrichous flagella (VF1154) - Motility (VFC0204)] [Escherichia coli O157:H7 str. EDL933]
AS011_contigs.fa	99.8	88.33	Motility	fliG	  flagellar motor switch protein FliG [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	100	85.56	Motility	fliA	  RNA polymerase sigma factor FliA [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	100	83.02	Motility	tcyJ	  cystine ABC transporter substrate-binding protein [Peritrichous flagella (VF1154) - Motility (VFC0204)] [Escherichia coli O157:H7 str. EDL933]
AS011_contigs.fa	98.97	84.79	Motility	flhC	  regulator of flagellar biosynthesis [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	100	84.57	Motility	motA	  flagellar motor stator protein MotA [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	96.83	82.79	Motility	cheW	  chemotaxis protein CheW [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	99.88	81.17	Motility	cheR	  chemotaxis protein-glutamate O-methyltransferase [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	99.81	84.35	Motility	cheB	  chemotaxis response regulator protein-glutamate methylesterase [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	100	83.33	Motility	cheY	  two-component system response regulator [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	97.98	82.59	Motility	cheZ	  protein phosphatase CheZ [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	99.74	80.03	Motility	flhB	  flagellar biosynthesis protein FlhB [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	100	82.2	Motility	flhA	  flagellar biosynthesis protein FlhA [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	100	82.11	Effector delivery system	vipA/tssB	  type VI secretion system contractile sheath small subunit VipA [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella oxytoca E718]
AS011_contigs.fa	99.8	87.91	Effector delivery system	vipB/tssC	  type VI secretion system contractile sheath large subunit VipB [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella oxytoca KCTC 1686]
AS011_contigs.fa	100	88.62	Effector delivery system	hcp/tssD	  type VI secretion system protein Hcp family [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
AS011_contigs.fa	96.9	81.99	Motility	flgI	  flagellar biosynthesis protein FlgA [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	95.14	81.81	Motility	flgH	  flagellar basal body L-ring protein [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	100	86.84	Motility	flgG	  flagellar basal-body rod protein FlgG [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	99.74	80.08	Motility	flgF	  flagellar biosynthesis protein FlgF [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	96.3	81.57	Motility	flgC	  flagellar basal body rod protein FlgC [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	88.46	80.58	Adherence	cgsE	  curli production assembly/transport protein CsgE [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]
AS011_contigs.fa	100	80.94	Adherence	csgG	  curli production assembly/transport protein CsgG [Agf (VF0103) - Adherence (VFC0001)] [Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633]
AS011_contigs.fa	98.75	84.65	Adherence	ompA	  porin OmpA [Z1307 (VF1158) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]
AS011_contigs.fa	96.47	84.44	Regulation	fur	  ferric iron uptake transcriptional regulator [Fur (VF0113) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	99.47	82.59	Nutritional/Metabolic factor	entA	  23-dihydroxybenzoate-23-dehydrogenase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae HS11286]
AS011_contigs.fa	100	84.91	Nutritional/Metabolic factor	entB	  23-dihydro-23-dihydroxybenzoate synthetase isochroismatase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella oxytoca E718]
AS011_contigs.fa	99.07	80.69	Nutritional/Metabolic factor	entE	  enterobactin synthase subunit E [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]
AS011_contigs.fa	97.5	81	Nutritional/Metabolic factor	entS	  enterobactin exporter EntS [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]
AS011_contigs.fa	99.7	82.14	Nutritional/Metabolic factor	fepD	  iron-enterobactin transporter membrane protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella oxytoca KCTC 1686]
AS011_contigs.fa	97.11	85.23	Nutritional/Metabolic factor	fepC	  iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella oxytoca E718]
AS011_contigs.fa	94.76	82.69	Nutritional/Metabolic factor	fepA	  outer membrane receptor FepA [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella oxytoca KCTC 1686]
AS011_contigs.fa	99.56	85.41	Antimicrobial activity/Competitive advantage	acrB	  acriflavine resistance protein B [AcrAB (VF0568) - Antimicrobial activity/Competitive advantage (VFC0325)] [Klebsiella pneumoniae 342]
AS011_contigs.fa	99.8	89.73	Regulation	rpoS	  RNA polymerase sigma factor RpoS [RpoS (VF0112) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
AS011_contigs.fa	99.92	86.14	Effector delivery system	clpV	  ATP-dependent chaperone ClpB [T6SS-II (VF0783) - Effector delivery system (VFC0086)] [Klebsiella oxytoca KCTC 1686]
AS013_contigs.fa	100	83.59	Adherence	pilG	  twitching motility response regulator PilG [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii AB0057]
AS013_contigs.fa	99.03	80.75	Biofilm	adeG	  cation/multidrug efflux pump [AdeFGH efflux pump (VF0504) - Biofilm (VFC0271)] [Acinetobacter baumannii D1279779]
AS013_contigs.fa	100	84.1	Regulation	bfmR	  biofilm-controlling response regulator [BfmRS (VF0463) - Regulation (VFC0301)] [Acinetobacter baumannii BJAB0715]
AS013_contigs.fa	95.88	81.59	Effector delivery system	tssC	  type VI secretion system contractile sheath large subunit [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]
AS013_contigs.fa	100	83.93	Effector delivery system	hcp/tssD	  type VI secretion system tube protein Hcp [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ATCC 17978]
AS013_contigs.fa	100	80.07	Immune modulation	lpxC	  UDP-3-O-acyl-N-acetylglucosamine deacetylase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii BJAB0715]
AS013_contigs.fa	99.16	81.21	Immune modulation	ABZJ_RS06230	  UDP-N-acetylglucosamine 46-dehydratase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-ZJ06]
AS013_contigs.fa	94.54	82.85	Immune modulation	ompA	  outer membrane protein OmpA [OmpA (VF0464) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]
