#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
AA010_contigs.fa	contig00002	309640	310167	+	VFG050363(gb|WP_000695065.1)	1-528/528	===============	0/0	100.00	82.95	VFDB_full		VFG050363(gb|WP_000695065.1) (pilP) pilus assembly protein PilP [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00003	207624	208577	-	VFG050972(gb|WP_000972583.1)	1-954/954	========/======	2/4	99.79	82.64	VFDB_full		VFG050972(gb|WP_000972583.1) (tagX) type VI-associated gene X peptidoglycan hydrolase [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00003	209221	210027	-	VFG050946(gb|WP_000083625.1)	1-807/807	===============	0/0	100.00	86.86	VFDB_full		VFG050946(gb|WP_000083625.1) (tssL) type IVB secretion system protein TssL [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00003	210045	211409	-	VFG051032(gb|WP_000471441.1)	1-1365/1365	===============	0/0	100.00	85.79	VFDB_full		VFG051032(gb|WP_000471441.1) (tssK) type VI secretion system baseplate subunit TssK [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00003	211426	212520	-	VFG051082(gb|WP_000020713.1)	1-1095/1095	===============	0/0	100.00	83.74	VFDB_full		VFG051082(gb|WP_000020713.1) (tssA) type VI secretion system protein TssA [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00003	212543	215224	-	VFG051102(gb|WP_002009235.1)	1-2682/2682	========/======	5/8	99.85	85.74	VFDB_full		VFG051102(gb|WP_002009235.1) (clpV/tssH) type VI secretion system ATPase TssH [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00003	217419	221240	-	VFG050963(gb|WP_000556919.1)	1-3825/3825	========/======	3/5	99.90	85.36	VFDB_full		VFG050963(gb|WP_000556919.1) (tssM) type VI secretion system membrane subunit TssM [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00003	222677	223675	-	VFG051022(gb|WP_001190392.1)	1-999/999	========/======	9/22	98.90	80.10	VFDB_full		VFG051022(gb|WP_001190392.1) (tssG) type VI secretion system baseplate subunit TssG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii SDF]	
AA010_contigs.fa	contig00003	223639	225450	-	VFG051000(gb|WP_000568832.1)	1-1812/1812	========/======	4/6	99.83	82.70	VFDB_full		VFG051000(gb|WP_000568832.1) (tssF) type VI secretion system baseplate subunit TssF [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00003	225467	225943	-	VFG050990(gb|WP_001047031.1)	1-477/477	===============	0/0	100.00	89.73	VFDB_full		VFG050990(gb|WP_001047031.1) (tssE) type VI secretion system baseplate subunit TssE [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00003	226022	226525	-	VFG051046(gb|WP_000653195.1)	1-504/504	===============	0/0	100.00	92.66	VFDB_full		VFG051046(gb|WP_000653195.1) (hcp/tssD) type VI secretion system tube protein Hcp [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00003	226575	228056	-	VFG051070(gb|WP_001066523.1)	1-1482/1482	===============	0/0	100.00	91.09	VFDB_full		VFG051070(gb|WP_001066523.1) (tssC) type VI secretion system contractile sheath large subunit [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00003	228049	228552	-	VFG051054(gb|WP_001119042.1)	1-504/504	===============	0/0	100.00	91.47	VFDB_full		VFG051054(gb|WP_001119042.1) (tssB) type VI secretion system contractile sheath small subunit [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00003	231181	233892	-	VFG051111(gb|YP_001084320.1)	1-2715/2826	========/======	3/5	95.93	87.22	VFDB_full		VFG051111(gb|YP_001084320.1) (tse3) T6SS effector Tse3 unknown function [T6SS secreted effectors (VF1338) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ATCC 17978]	
AA010_contigs.fa	contig00003	244045	246557	-	VFG050910(gb|WP_001178477.1)	32-2544/2847	========/=====.	2/2	88.23	88.23	VFDB_full		VFG050910(gb|WP_001178477.1) (vgrG/tssI) type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00004	47183	48601	-	VFG050696(gb|WP_000840549.1)	1-1422/1422	========/======	8/15	99.37	80.04	VFDB_full		VFG050696(gb|WP_000840549.1) (pilR) sigma-54 dependent transcriptional regulator [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii 1656-2]	
AA010_contigs.fa	contig00004	48626	50194	-	VFG050691(gb|WP_001160336.1)	1-1569/1569	===============	0/0	100.00	84.89	VFDB_full		VFG050691(gb|WP_001160336.1) (pilS) PAS domain-containing sensor histidine kinase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00004	51053	52099	+	VFG038247(gb|WP_001984577)	1-1047/1047	===============	0/0	100.00	87.78	VFDB_full		VFG038247(gb|WP_001984577) (pbpG) D-alanyl-D-alanine endopeptidase PBP7/8 [PbpG (VF0468) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00004	81461	82204	+	VFG050712(gb|WP_000730343.1)	1-744/744	===============	0/0	100.00	84.00	VFDB_full		VFG050712(gb|WP_000730343.1) (gspN) type II secretion system protein N [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00004	82204	83040	+	VFG050731(gb|WP_020752740.1)	1-837/837	===============	0/0	100.00	83.51	VFDB_full		VFG050731(gb|WP_020752740.1) (gspC) general secretion pathway protein C [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00004	83082	85340	+	VFG050746(gb|WP_001196426.1)	1-2277/2277	========/======	5/24	99.08	81.23	VFDB_full		VFG050746(gb|WP_001196426.1) (gspD) general secretion pathway protein D [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00004	140701	141561	-	VFG050486(gb|WP_001152277.1)	1-861/861	===============	0/0	100.00	86.88	VFDB_full		VFG050486(gb|WP_001152277.1) (gspO/pilD) A24 family peptidase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii AYE]	
AA010_contigs.fa	contig00004	141561	142787	-	VFG050470(gb|WP_000279216.1)	1-1227/1227	===============	0/0	100.00	87.04	VFDB_full		VFG050470(gb|WP_000279216.1) (pilC) type II secretion system F family protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00004	142815	144527	-	VFG050463(gb|WP_001274986.1)	1-1713/1713	===============	0/0	100.00	85.99	VFDB_full		VFG050463(gb|WP_001274986.1) (pilB) type IV-A pilus assembly ATPase PilB [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00004	193616	194821	+	VFG050793(gb|WP_001112093.1)	1-1206/1206	===============	0/0	100.00	91.79	VFDB_full		VFG050793(gb|WP_001112093.1) (gspF) general secretion pathway protein F [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00004	194845	195360	+	VFG050808(gb|WP_000784786.1)	1-516/516	===============	0/0	100.00	90.12	VFDB_full		VFG050808(gb|WP_000784786.1) (gspG) general secretion pathway protein G [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00004	258110	259210	-	VFG037775(gb|WP_000867102)	1-1101/1101	===============	0/0	100.00	87.47	VFDB_full		VFG037775(gb|WP_000867102) (lpsB) glycosyltransferase family 4 protein [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00004	259445	260380	-	VFG037760(gb|WP_000078875)	1-936/936	===============	0/0	100.00	85.26	VFDB_full		VFG037760(gb|WP_000078875) (lpxL) LpxL/LpxP family Kdo(2)-lipid IV(A) lauroyl/palmitoleoyl acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00004	331181	331981	+	VFG050414(gb|WP_002027454.1)	1-801/801	===============	0/0	100.00	89.51	VFDB_full		VFG050414(gb|WP_002027454.1) (pilF) type IV pilus biogenesis/stability protein PilW [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00005	146202	146738	-	VFG050653(gb|WP_000729762.1)	1-537/537	===============	0/0	100.00	94.23	VFDB_full		VFG050653(gb|WP_000729762.1) (pilI) chemotaxis protein CheW [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00005	146798	147160	-	VFG050640(gb|WP_000101096.1)	1-363/363	===============	0/0	100.00	90.08	VFDB_full		VFG050640(gb|WP_000101096.1) (pilH) response regulator [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00005	147184	147567	-	VFG050623(gb|WP_000389061.1)	1-384/384	===============	0/0	100.00	92.71	VFDB_full		VFG050623(gb|WP_000389061.1) (pilG) twitching motility response regulator PilG [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00005	174426	175496	-	VFG038182(gb|WP_000777875)	1-1071/1071	===============	0/0	100.00	97.85	VFDB_full		VFG038182(gb|WP_000777875) (ompA) outer membrane protein OmpA [OmpA (VF0464) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00006	14769	15485	+	VFG038223(gb|WP_000076440)	1-717/717	===============	0/0	100.00	90.38	VFDB_full		VFG038223(gb|WP_000076440) (bfmR) biofilm-controlling response regulator [BfmRS (VF0463) - Regulation (VFC0301)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00006	15518	17167	+	VFG038240(gb|WP_043960856)	1-1650/1650	===============	0/0	100.00	86.12	VFDB_full		VFG038240(gb|WP_043960856) (bfmS) signal transduction histidine kinase [BfmRS (VF0463) - Regulation (VFC0301)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00006	162538	163656	-	VFG050398(gb|WP_000347036.1)	1-1119/1119	===============	0/0	100.00	88.92	VFDB_full		VFG050398(gb|WP_000347036.1) (pilU) PilT/PilU family type 4a pilus ATPase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00006	163676	164743	-	VFG050395(gb|YP_005797773.1)	1-1068/1068	===============	0/0	100.00	90.36	VFDB_full		VFG050395(gb|YP_005797773.1) (pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii TCDC-AB0715]	
AA010_contigs.fa	contig00006	205066	205956	+	VFG037476(gb|WP_001105546)	1-891/891	===============	0/0	100.00	93.15	VFDB_full		VFG037476(gb|WP_001105546) (ABD1_RS04515) LysR family transcriptional regulator [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00006	206093	206614	+	VFG037482(gb|WP_004748062)	1-522/522	===============	0/0	100.00	96.55	VFDB_full		VFG037482(gb|WP_004748062) (ACICU_RS04570) sigma-70 family RNA polymerase sigma factor [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00006	206615	207631	+	VFG037489(gb|WP_001240502)	1-1017/1017	===============	0/0	100.00	95.28	VFDB_full		VFG037489(gb|WP_001240502) (AB57_RS05105) FecR domain-containing protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00006	207840	210944	+	VFG037496(gb|WP_085920715)	1-3105/3105	===============	0/0	100.00	95.04	VFDB_full		VFG037496(gb|WP_085920715) (AB57_RS05110) TonB-dependent receptor [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00006	211136	211927	+	VFG037508(gb|WP_002004304)	1-792/792	===============	0/0	100.00	96.59	VFDB_full		VFG037508(gb|WP_002004304) (ABZJ_RS11165) transferrin-binding protein-like solute binding protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii MDR-ZJ06]	
AA010_contigs.fa	contig00006	212034	213497	+	VFG037513(gb|WP_085947930)	4-1467/1467	===============	0/0	99.80	94.40	VFDB_full		VFG037513(gb|WP_085947930) (ACICU_RS04590) porin family protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00006	213508	214428	+	VFG037520(gb|WP_000837763)	1-921/921	===============	0/0	100.00	92.18	VFDB_full		VFG037520(gb|WP_000837763) (AB57_RS05125) energy transducer TonB [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00006	214461	215059	+	VFG037530(gb|WP_002036588)	1-599/600	===============	0/0	99.83	95.33	VFDB_full		VFG037530(gb|WP_002036588) (hemO) biliverdin-producing heme oxygenase [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00006	215089	215527	+	VFG037537(gb|WP_000359621)	1-439/441	===============	0/0	99.55	92.71	VFDB_full		VFG037537(gb|WP_000359621) (ACICU_RS04605) YbaN family protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00006	215535	215810	-	VFG037545(gb|WP_000061137)	1-276/276	===============	0/0	100.00	83.70	VFDB_full		VFG037545(gb|WP_000061137) (AB57_RS05140) hypothetical protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00007	25565	27732	+	VFG037172(gb|WP_001081748)	1-2168/2169	===============	0/0	99.95	90.13	VFDB_full		VFG037172(gb|WP_001081748) (plc1) phospholipase C [Phospholipase C (VF0470) - Exotoxin (VFC0235)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00007	33295	35478	-	VFG037856(gb|WP_020752678)	1-2184/2184	========/======	3/6	99.86	86.33	VFDB_full		VFG037856(gb|WP_020752678) (BJAB0715_RS00470) polysaccharide biosynthesis tyrosine autokinase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00007	35497	35925	-	VFG038061(gb|WP_001159771)	1-429/429	===============	0/0	100.00	89.98	VFDB_full		VFG038061(gb|WP_001159771) (ABBFA_RS17180) low molecular weight phosphotyrosine protein phosphatase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB307-0294]	
AA010_contigs.fa	contig00007	35930	37030	-	VFG037885(gb|WP_000872587)	1-1101/1101	===============	0/0	100.00	84.56	VFDB_full		VFG037885(gb|WP_000872587) (BJAB07104_RS00470) polysaccharide biosynthesis/export family protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii BJAB07104]	
AA010_contigs.fa	contig00007	37391	38665	+	VFG037903(gb|WP_001175102)	1-1275/1275	===============	0/0	100.00	94.20	VFDB_full		VFG037903(gb|WP_001175102) (tviB) Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00007	38689	39729	+	VFG037918(gb|WP_001077698)	1-1041/1041	========/======	2/4	99.81	89.64	VFDB_full		VFG037918(gb|WP_001077698) (tviC) Vi polysaccharide biosynthesis UDP-N-acetylglucosaminuronic acid C-4 epimerase TviC [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00007	39733	40799	+	VFG037933(gb|WP_000051833)	1-1073/1242	========/=====.	7/16	85.51	80.33	VFDB_full		VFG037933(gb|WP_000051833) (ABD1_RS00290) hypothetical protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00007	42650	43828	+	VFG037963(gb|WP_001062745)	1-1179/1179	===============	0/0	100.00	93.64	VFDB_full		VFG037963(gb|WP_001062745) (ABD1_RS00300) glycosyltransferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00007	43831	44976	+	VFG037978(gb|WP_002036860)	1-1146/1146	===============	0/0	100.00	93.37	VFDB_full		VFG037978(gb|WP_002036860) (ABD1_RS00305) glycosyltransferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00007	44969	46003	+	VFG037993(gb|WP_000471755)	1-1035/1035	===============	0/0	100.00	94.30	VFDB_full		VFG037993(gb|WP_000471755) (ABD1_RS00310) polysaccharide biosynthesis protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00007	46006	47115	+	VFG038055(gb|WP_000866951)	1-1110/1110	===============	0/0	100.00	90.81	VFDB_full		VFG038055(gb|WP_000866951) (ABZJ_RS06290) NAD-dependent epimerase/dehydratase family protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-ZJ06]	
AA010_contigs.fa	contig00007	47128	48258	+	VFG037994(gb|WP_000734323)	1-1131/1131	===============	0/0	100.00	92.48	VFDB_full		VFG037994(gb|WP_000734323) (wecB) UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing) [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-TJ]	
AA010_contigs.fa	contig00007	48269	49456	+	VFG037979(gb|WP_002020522)	1-1188/1188	===============	0/0	100.00	90.24	VFDB_full		VFG037979(gb|WP_002020522) (ABTJ_RS18530) glycosyltransferase family 4 protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-TJ]	
AA010_contigs.fa	contig00007	49472	50403	+	VFG038099(gb|WP_001023245)	1-932/936	========/======	2/2	99.47	82.53	VFDB_full		VFG038099(gb|WP_001023245) (ABZJ_RS06305) NAD-dependent epimerase/dehydratase family protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-ZJ06]	
AA010_contigs.fa	contig00007	51870	52490	+	VFG037934(gb|WP_000977704)	1-621/621	===============	0/0	100.00	88.57	VFDB_full		VFG037934(gb|WP_000977704) (ABTJ_RS18515) sugar transferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-TJ]	
AA010_contigs.fa	contig00007	52503	53378	+	VFG038117(gb|WP_000591433)	1-876/876	===============	0/0	100.00	85.96	VFDB_full		VFG038117(gb|WP_000591433) (galU) UTP--glucose-1-phosphate uridylyltransferase GalU [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii 1656-2]	
AA010_contigs.fa	contig00007	53496	54758	+	VFG038154(gb|WP_000686123)	1-1263/1263	===============	0/0	100.00	87.65	VFDB_full		VFG038154(gb|WP_000686123) (AB57_RS00555) nucleotide sugar dehydrogenase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00007	54755	56425	+	VFG037889(gb|WP_000045514)	1-1671/1671	===============	0/0	100.00	84.50	VFDB_full		VFG037889(gb|WP_000045514) (pgi) glucose-6-phosphate isomerase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-TJ]	
