internal_id,seq_run,seq_sumission_date,data_return_date,internal_date_isolate_received,source_lab,isolation_date,sample_location,sample_location_lat,sample_location_lon,sample_source,lab_field_derived,host_species_non_mosquito,life_stage_non_mosquito,sex_non_mosquito,tissue_non_mosquito,mosquito_species,mosquito_strain_lab,mosquito_life_stage,mosquito_sex,mosquito_female_feeding_status,mosquito_tissue,confirmed_growth_media,confirmed_growth_temp,qc_pass,completeness,contamination,genome_size_bp,number_contigs,mean_contig_length_bp,longest_contig_bp,gc,number_predicted_genes,n50,total_reads,avg_coverage,gtdb_domain,gtdb_parent,gtbd_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,fastani_reference,fastani_ani,fastani_af,SR_accession_no,ER_accession_no,fastani_ani,fastani_af,SR_accession_no,ER_accession_no
USMM118,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,"R2A,LB",28,Pass,99.45,1.26,4995527,85,58770,757559,45.7,5006,249956,3545823,105,Bacteria,Firmicutes,Bacilli,Bacillales_B,DSM-18226,Bacillus_AB,Bacillus_AB infantis,GCF_000473245.1,98.26,0.93,,,98.26,0.93,,
USMM102,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,R2A,28,Pass,100,0.49,3282457,32,102576,713110,67.5,3171,614085,5244641,236,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas aurantiaca,GCF_014199955.1,97.19,0.89,,,97.19,0.89,,
USMM103,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,R2A,28,Pass,100,0.49,3282053,33,99456,1348893,67.5,3170,383233,4432443,199,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas aurantiaca,GCF_014199955.1,97.09,0.9,,,97.09,0.9,,
USMM104,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,R2A,28,Pass,100,0.49,3281406,29,113151,1348697,67.5,3171,604980,4770459,215,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas aurantiaca,GCF_014199955.1,97.2,0.9,,,97.2,0.9,,
USMM105,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,R2A,28,Pass,100,0.49,3281938,33,99452,1305537,67.5,3171,383230,5402947,243,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas aurantiaca,GCF_014199955.1,97.1,0.89,,,97.1,0.89,,
USMM106,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Fail,96.44,0,3880161,135,28741,697509,48.3,3644,441542,4067115,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,
USMM107,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Fail,96.44,0,3871214,142,27262,617726,48.3,3626,441343,4826364,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,
USMM108,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.85,0.02,7220706,142,50850,2018189,46.6,6643,828770,4526964,93,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus illinoisensis,GCF_004000925.1,95.36,0.91,,,95.36,0.91,,
USMM101,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,100,0.08,4769626,52,91723,1574629,56.6,4420,582192,4515675,140,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea anthophila,GCF_006494375.1,98.35,0.95,,,98.35,0.95,,
USMM111,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,R2A,28,Pass,99.68,0.32,3172193,16,198262,1142652,66.4,3063,613407,4297855,200,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas nasdae_A,GCF_000813765.1,95.95,0.82,,,95.95,0.82,,
USMM114,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.38,0.85,2208788,99,22310,346043,31.3,2184,132079,3692766,250,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus hominis,GCF_002901845.1,97.48,0.93,,,97.48,0.93,,
USMM116,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.38,0.85,2207603,90,24528,346043,31.4,2177,132075,4111892,278,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus hominis,GCF_002901845.1,97.46,0.94,,,97.46,0.94,,
USMM086,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.21,0.22,5807185,165,35195,597467,34.9,5875,267355,4439350,113,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A thuringiensis,GCF_002119445.1,97.78,0.88,,,97.78,0.88,,
USMM087,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.21,0.22,5808627,177,32817,433338,34.9,5889,249034,3889814,99,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A thuringiensis,GCF_002119445.1,97.74,0.88,,,97.74,0.88,,
USMM088,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.34,0.95,6625669,151,43878,967892,34.8,6870,349600,3775283,84,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A thuringiensis_S,GCF_000021305.1,99.29,0.88,,,99.29,0.88,,
USMM091,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.34,0.38,5722774,140,40876,692537,35,5763,380056,4744602,123,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A toyonensis,GCF_000496285.1,99.42,0.94,,,99.42,0.94,,
USMM074,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.01,0.5,5874048,127,46252,1049521,35.2,6103,269186,3883957,98,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A cereus_AG,GCF_900094905.1,99.91,0.95,,,99.91,0.95,,
USMM075,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.01,0.56,5876333,147,39975,773880,35.2,6118,269186,4821233,122,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A cereus_AG,GCF_900094905.1,99.91,0.94,,,99.91,0.94,,
USMM093,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.34,0.38,5765440,155,37196,706818,35,5830,434940,3504816,90,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A toyonensis,GCF_000496285.1,99.39,0.94,,,99.39,0.94,,
USMM094,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.587,-80.37113,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,Palmetto,adults,female,non_blood_fed,whole_body,LB,28,Pass,100,2.15,4170254,41,101713,763660,35.3,3883,471495,5070475,181,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Elizabethkingia anophelis,GCF_002023665.2,98.29,0.89,,,98.29,0.89,,
USMM095,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.587,-80.37113,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,Palmetto,adults,female,non_blood_fed,whole_body,LB,28,Pass,100,2.15,4170772,43,96994,763711,35.3,3887,471495,4008309,143,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Elizabethkingia anophelis,GCF_002023665.2,98.28,0.89,,,98.28,0.89,,
USMM096,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.587,-80.37113,mosquito,lab,NA,NA,NA,NA,Aedes_albopictus,IndianRiver,adults,female,non_blood_fed,whole_body,LB,28,Pass,100,2.15,4170870,44,94792,645362,35.3,3889,427630,3933324,140,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Elizabethkingia anophelis,GCF_002023665.2,98.27,0.89,,,98.27,0.89,,
USMM097,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.587,-80.37113,mosquito,lab,NA,NA,NA,NA,Aedes_albopictus,IndianRiver,adults,female,non_blood_fed,whole_body,LB,28,Pass,100,2.15,4170455,41,101718,763711,35.3,3885,471495,3342283,119,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Elizabethkingia anophelis,GCF_002023665.2,98.28,0.89,,,98.28,0.89,,
USMM078,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,100,0.66,5645242,145,38932,957108,53.6,5291,211689,4469290,118,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea cancerogena_A,GCF_000773965.1,96.95,0.86,,,96.95,0.86,,
USMM079,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,100,0.66,5644432,138,40901,957108,53.6,5291,210972,3703488,97,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea cancerogena_A,GCF_000773965.1,96.95,0.86,,,96.95,0.86,,
USMM099,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.85,0.02,7146083,151,47325,2018189,46.6,6565,1063137,3823585,79,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus illinoisensis,GCF_004000925.1,95.39,0.91,,,95.39,0.91,,
USMM080,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,100,0.08,4566460,48,95134,1968458,56.9,4185,567296,4628044,150,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea anthophila,GCF_006494375.1,98.55,0.93,,,98.55,0.93,,
USMM081,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,100,0.08,4407586,37,119123,1968458,57,4051,567296,4295684,144,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea anthophila,GCF_006494375.1,98.55,0.93,,,98.55,0.93,,
USMM082,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.43,0.35,5306061,118,44966,1132682,37.9,5481,375064,4221017,118,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_H,Priestia,Priestia megaterium_A,GCF_009497655.1,99,0.92,,,99,0.92,,
USMM083,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,field,NA,NA,NA,NA,unk,NA,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.43,0.35,5304903,109,48668,1132682,37.9,5481,788516,3539601,99,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_H,Priestia,Priestia megaterium_A,GCF_009497655.1,98.96,0.93,,,98.96,0.93,,
USMM084,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,Palmetto,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.8,0.45,5183938,72,71999,976936,59.9,4796,485555,5327422,152,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia nevei,GCF_016742975.1,98.79,0.88,,,98.79,0.88,,
USMM085,UW-3,23-Aug-22,09-Sep-22,21-Oct-21,Caragata_Eric,14-Jul-21,"Vero_Beach,FL,USA;North_America",27.586919,-80.375486,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,Palmetto,adults,female,non_blood_fed,whole_body,LB,28,Pass,99.8,0.45,5183936,74,70053,978356,59.9,4800,485555,6119201,174,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia nevei,GCF_016742975.1,98.77,0.88,,,98.77,0.88,,
AA004,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2019,"Dane_County,WI,USA;North_America",unk,unk,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Fail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,
AA010,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2019,"Dane_County,WI,USA;North_America",43.123,-89.477,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,0.41,4025199,128,31446,1479942,38.7,3799,448156,5144915,189,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,GCF_000196795.1,96.84,0.92,,,96.84,0.92,,
AS011,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,20-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LB,28,Pass,99.69,0.44,4737009,56,84589,2641988,56.9,4339,2641988,5037213,157,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,NA,N/A,N/A,N/A,,,N/A,N/A,,
AS013,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,20-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PDA,28,Pass,99.73,0.68,3579498,54,66287,466536,40.1,3387,244439,5206463,215,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,GCF_000400735.1,96.83,0.91,,,96.83,0.91,,
AS031,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,21-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.28,0.33,3968840,55,72160,1650167,56.4,3646,470326,5365337,200,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,,,98.85,0.95,,
AS083,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,05-Mar-20,"Dane_County,WI,USA;North_America",43.121,-89.478,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blood,28,Pass,99.8,0,4975917,40,124397,2506594,59.8,4593,2506594,4304641,127,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,,,98.51,0.95,,
AS085,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,12-Aug-20,"Cook_County,IL,USA;North_America",42.08540413,-87.95790668,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blood,28,Pass,100,0.58,4866969,89,54685,1268095,55.2,4504,424945,4767682,145,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea agglomerans,GCF_001598475.1,98.53,0.95,,,98.53,0.95,,
AS091,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,25-Aug-20,"Cook_County,IL,USA;North_America",42.085516,-87.964762,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.77,0.1,4831822,50,96636,1324318,55.4,4499,556362,5551385,169,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei_A,GCF_001729745.1,95.86,0.9,,,95.86,0.9,,
AS093,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,25-Aug-20,"Cook_County,IL,USA;North_America",42.084511,-87.963524,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.81,0,5084370,37,137415,1375489,59.8,4720,530606,5632242,163,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.68,0.94,,,98.68,0.94,,
